pos:   0 || len: 0 || *:   0 => 0x00
pos:   0 || len: 1 || *:   0 => JUMP
pos:   0 || len: 2 || *:   0 => 0x00
pos:   0 || len: 3 || *:   0 => NULL
pos:   0 || len: 4 || *:   0 => NULL
pos:   0 || len: 5 || *:   0 => NULL
pos:   0 || len: 6 || *:   0 => NULL
pos:   0 || len: 7 || *:   0 => NULL
pos:   0 || len: 8 || *:   0 => NULL
pos:   0 || len: 0 || *:   1 => 0x00
pos:   0 || len: 1 || *:   1 => b'\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 2 || *:   1 => JUMP
pos:   0 || len: 3 || *:   1 => 0x00
pos:   0 || len: 4 || *:   1 => NULL
pos:   0 || len: 5 || *:   1 => NULL
pos:   0 || len: 6 || *:   1 => NULL
pos:   0 || len: 7 || *:   1 => NULL
pos:   0 || len: 8 || *:   1 => NULL
pos:   0 || len: 0 || *:   2 => 0x00
pos:   0 || len: 1 || *:   2 => b'\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 2 || *:   2 => b'\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 3 || *:   2 => JUMP
pos:   0 || len: 4 || *:   2 => 0x00
pos:   0 || len: 5 || *:   2 => NULL
pos:   0 || len: 6 || *:   2 => NULL
pos:   0 || len: 7 || *:   2 => NULL
pos:   0 || len: 8 || *:   2 => NULL
pos:   0 || len: 0 || *:   3 => 0x00
pos:   0 || len: 1 || *:   3 => b'\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 2 || *:   3 => b'\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 3 || *:   3 => b'\xeb\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 4 || *:   3 => JUMP
pos:   0 || len: 5 || *:   3 => 0x00
pos:   0 || len: 6 || *:   3 => NULL
pos:   0 || len: 7 || *:   3 => NULL
pos:   0 || len: 8 || *:   3 => NULL
pos:   0 || len: 0 || *:   4 => 0x00
pos:   0 || len: 1 || *:   4 => b'\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
pos:   0 || len: 2 || *:   4 => b'\xeb\xeb\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00'
